,Link,Price
96,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1109-C5376773,"$1,288,000"
97,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1411-C5371016,"$850,000"
98,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-Th105-C5313716,"$1,030,000"
99,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-606-C5349028,"$865,000"
100,https://condos.ca/toronto/99b-walmer-road-toronto/c5364685,"$1,455,000"
101,https://condos.ca/toronto/190-st-george-condos-190-st-george-st/unit-803-C5306045,"$850,000"
102,https://condos.ca/toronto/879-bathurst-street-toronto/c5319380,"$1,440,000"
103,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-801-C5354820,"$625,000"
104,https://condos.ca/toronto/355-dupont-street-toronto/unit-2-C5310658,"$2,325,000"
105,https://condos.ca/toronto/71-robert-street-toronto/c5260268,"$1,550,000"
106,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-217-C5334412,"$655,000"
107,https://condos.ca/toronto/131-lippincott-street-toronto/c5330110,"$1,505,000"
108,https://condos.ca/toronto/28-admiral-road-toronto/unit-8-C5298208,"$1,558,000"
109,https://condos.ca/toronto/annex-town5-126-spadina-rd/unit-5-C5302563,"$1,314,400"
110,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-305-C5326015,"$685,000"
111,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-608-C5322717,"$535,000"
112,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-1808-C5293451,"$735,000"
113,https://condos.ca/toronto/5-shady-lane-toronto/unit-1602-C5310799,"$518,000"
114,https://condos.ca/toronto/65-major-street-toronto/c5305712,"$1,800,000"
115,https://condos.ca/toronto/lennox-mews-towns-230-234-st-george-st/unit-1-C5312584,"$845,000"
116,https://condos.ca/toronto/the-creed-building-295-davenport-rd/unit-205-C5305456,"$1,050,000"
117,https://condos.ca/toronto/mosaic-736-spadina-ave/unit-217-C5272629,"$530,000"
118,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-611-C5274200,"$683,000"
119,https://condos.ca/toronto/258-robert-street-toronto/c5285667,"$1,615,000"
120,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-3-C5273755,"$881,000"
121,https://condos.ca/toronto/11-croft-street-toronto/c5245103,"$1,950,000"
122,https://condos.ca/toronto/186-howland-avenue-toronto/c5246844,"$1,550,000"
123,https://condos.ca/toronto/21-olive-avenue-toronto/unit-220-C5242111,"$599,000"
124,https://condos.ca/toronto/st-george-mews-284-bloor-st-w/unit-407-C5411137,"$757,500"
125,https://condos.ca/toronto/48-robert-street-toronto/c5418703,"$2,300,000"
126,https://condos.ca/toronto/932-manning-avenue-toronto/c5412439,"$1,328,000"
127,https://condos.ca/toronto/b-streets-condos-10-20-loretto-lane-783-bathurst-st/unit-227-C5386916,"$810,000"
128,https://condos.ca/toronto/2-borden-street-toronto/c5401429,"$1,750,000"
129,https://condos.ca/toronto/139-borden-street-toronto/c5399729,"$1,435,000"
130,https://condos.ca/toronto/157-madison-avenue-condos-157-madison-ave/unit-1-C5392087,"$975,000"
131,https://condos.ca/toronto/powell-house-212-st-george-st/unit-202-C5382069,"$600,000"
132,https://condos.ca/toronto/31-walmer-road-townhouses-31-walmer-rd/unit-1-C5376574,"$1,446,000"
133,https://condos.ca/toronto/eleven-christie-11-christie-st/unit-105-C5396272,"$840,000"
134,https://condos.ca/toronto/55-prince-arthur-55-prince-arthur-ave/unit-Th57-C5378108,"$3,500,000"
135,https://condos.ca/toronto/sloane-square-217-st-george-st/unit-4-C5319760,"$750,000"
