address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
502 - 85 Wood St,"$790,000",2+1,2,0,"2,939",0,N,$460.20,Flex,1 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2711,65-74 sqm,"['Gym', 'Concierge', 'Party Room', 'Business Centre (WiFi)', 'Games Room', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Rooftop Deck', 'Security Guard']"
1116 - 85 Wood St S,"$905,000",2+1,2,1,"3,791",0,SE,$627.94,Flexible/Tbd,2 years old,Open Balcony,Owned,Other,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2711,84-93 sqm,"['Concierge', 'Games Room', 'Guest Suites', 'Gym', 'Media Room', 'Party Room', 'Business Centre (WiFi)', 'Meeting Room', 'Rec Room', 'Rooftop Deck', 'Security Guard']"
305 - 75 Dalhousie St,"$708,000",2+1,1,1,"2,651",910,W,$873.18,Immediate,17 years old,Juliet Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-1571,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Games Room', 'Indoor Pool']"
219 - 77 Shuter St,"$920,000",2+1,2,0,NA,0,N,$580.00,Immediate,0 years old,Terrace,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2801,74-84 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Outdoor Pool', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Business Centre (WiFi)', 'Games Room', 'Outdoor Patio', 'Pet Spa', 'Yoga Studio', 'Rec Room']"
1710 - 25 Maitland St,"$875,000",2+1,2,1,"2,873",1222,SW,"$1,251.90",60/90/Tbd,-,None,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-755,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Outdoor Pool']"
1115 - 45 Carlton St,"$833,800",2+2,2,1,"2,933",0,S,"$1,044.23",Immediate,39 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-565,111-130 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Squash Court', 'Visitor Parking', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Games Room', 'Meeting Room', 'Party Room', 'Rec Room']"
3016 - 85 Wood St,"$917,000",2+1,2,1,"3,652",775,SE,$597.36,30/60 Days,1 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2711,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Business Centre (WiFi)', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Games Room']"
1107 - 220 Victoria St,"$847,000",2+1,2,1,"3,148",1069,SW,$855.45,30/60/Tba,16 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-1653,93-111 sqm,"['Bike Storage', 'Games Room', 'Media Room', 'Party Room', 'Security Guard', 'Visitor Parking', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Elevator', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security System', 'Rec Room']"
1409 - 45 Carlton St,"$880,000",2+1,2,1,"3,142",0,N,$946.00,2021-01-18 00:,39 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-565,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Games Room', 'Indoor Pool']"
1008 - 45 Carlton St,"$829,900",2+2,2,1,"3,196",0,N,$946.65,Tbd/Flex,39 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-565,111-130 sqm,"['Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Indoor Pool', 'Concierge', 'Games Room', 'Gym', 'Meeting Room', 'Party Room', 'Rec Room', 'Rooftop Deck', 'Visitor Parking']"
403 - 70 Alexander St,"$754,000",2+1,2,2,"2,719",953,W,"$1,109.14",30/60/90,20 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-1329,93-111 sqm,"['Bike Storage', 'Concierge', 'Guest Suites', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Pets', 'Public Transit', 'Elevator', 'Meeting Room', 'Parking Garage', 'Security Guard', 'Security System', 'BBQ Permitted', 'Rec Room']"
1409 - 45 Carlton St,"$880,000",2+1,2,1,"3,142",0,N,$946.65,2020-12-07 00:,39 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-565,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Games Room', 'Indoor Pool']"
5A - 256 Jarvis St,"$745,000",2+1,2,1,"2,837",1649,W,"$1,120.00",Immed./Tba,37 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-600,167-186 sqm,"['Gym', 'Pets', 'Rooftop Deck', 'Public Transit', 'Parking Garage', 'Rec Room', 'Sauna', 'Security System']"
502 - 77 Carlton St,"$761,000",2+1,2,1,"3,196",1413,N,"$1,058.61",Immed.,37 years old,None,NA,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-619,130-149 sqm,"['Concierge', 'Gym', 'Party Room', 'Security Guard', 'Visitor Parking', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Squash Court']"
315 - 23 Carlton St,"$930,000",2+1,3,1,"3,676",1006,S,$815.70,60-90 Days/Tba,-,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-1952,111-130 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Visitor Parking']"
1405 - 220 Victoria St,"$670,000",2+1,2,1,"2,651",803,S,$828.02,Immediate,16 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-1653,74-84 sqm,"['Concierge', 'Rec Room', 'Security Guard', 'Visitor Parking', 'Rooftop Deck', 'Public Transit', 'Party Room', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security System', 'Games Room']"
3803 - 85 Wood St,"$840,000",2+1,2,0,"3,322",0,SW,$525.93,Immediate,1 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2711,65-74 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Security System', 'Business Centre (WiFi)', 'Games Room', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard']"
803 - 298 Jarvis St,"$650,000",2+1,2,1,"2,489",937,NE,"$1,215.15",Open,29 years old,None,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-993,84-93 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Security System', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Squash Court', 'Games Room', 'Meeting Room', 'Rec Room', 'Rooftop Deck']"
403 - 298 Jarvis St,"$599,000",2+1,2,1,"2,477",905,NE,"$1,131.87",30 Days/Tbd,29 years old,None,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-993,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Games Room', 'Indoor Pool']"
1808 - 45 Carlton St,"$750,000",2+1,2,1,"3,142",0,N,$946.65,Immd/Tba,39 years old,None,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-565,111-130 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Games Room', 'Indoor Pool']"
502 - 403 Church St,"$994,000",3,2,1,NA,1070,NS,$805.64,30/60 Days/Tba,0 years old,Open Balcony,None,Fan Coil,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2817,93-111 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Meeting Room', 'Party Room', 'Rooftop Deck']"
2308 - 89 Mcgill St,"$1,015,000",3,2,1,"3,104",832,SE,$683.25,Tba,3 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2682,74-84 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Security System', 'Outdoor Pool', 'Electric Car Charging stations']"
14D - 86 Gerrard St E,"$1,010,000",3,2,1,"3,666",1500,SW,"$1,278.32",Immediate,36 years old,Terrace,Owned,Other,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-677,130-149 sqm,"['BBQ Permitted', 'Party Room', 'Rooftop Deck', 'Security System', 'Visitor Parking', 'Elevator', 'Meeting Room', 'Parking Garage', 'Pets', 'Public Transit', 'Bike Storage']"
PH 11 - 155 Dalhousie St,"$1,935,000",3,2,2,"6,348",3287,W,"$1,576.14",Tba Anytime,22 years old,Terrace,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-1247,186-209 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Sauna', 'Business Centre (WiFi)', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Basketball Court', 'Games Room', 'Rec Room']"
PH04 - 77 Mutual St,"$900,000",3,2,0,NA,855,SW,$525.00,Immed,0 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2840,74-84 sqm,"['Party Room', 'Yoga Studio']"
6 - 101 Mcgill St,"$1,115,000",3,2,1,"4,094",0,W,$701.00,Flexible,33 years old,Terrace,Owned,Forced Air,Owned,Condo Townhouse,Church St. Corridor,Yes,MTCC-777,130-149 sqm,"['Rooftop Deck', 'BBQ Permitted']"
1103 - 88 Queen St E,"$1,196,000",3,2,0,NA,null,SE,$506.24,Occupancy,0 years old,Open Balcony,None,Heat Pump,Underground,Condo Apt,Church St. Corridor,Yes,NA,65-74 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Business Centre (WiFi)', 'Outdoor Patio', 'Rec Room', 'Yoga Studio', 'Pet Spa', 'Beanfield Fibre Available', 'Games Room', 'Outdoor Pool']"
2202 - 60 Shuter St,TBD,3,2,1,NA,869,SE,$557.29,May 2021,0 years old,None,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,NA,74-84 sqm,"['Concierge', 'Gym', 'Media Room', 'Party Room', 'Rooftop Deck']"
207 - 19 Dundonald St,"$1,275,000",3,3,1,"3,880",0,S,$998.64,60-90/Tba,29 years old,Terrace,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,MTCC-688,130-149 sqm,"['BBQ Permitted', 'Bike Storage', 'Gym', 'Party Room', 'Sauna', 'Visitor Parking', 'Elevator', 'Meeting Room']"
501 - 89 Mcgill St,"$1,050,000",3,2,1,"4,078",1158,NE,$903.32,Tba,2 years old,Terrace,None,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2682,93-111 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Media Room', 'Meeting Room', 'Sauna', 'Security System', 'Outdoor Pool']"
1311 - 89 Mcgill St,"$850,000",3,2,2,"3,500",0,SW,$771.00,30/60 Days,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,Church St. Corridor,Yes,TSCC-2682,74-84 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Visitor Parking', 'Rooftop Deck', 'Party Room', 'Elevator', 'BBQ Permitted', 'Bike Storage', 'Media Room', 'Meeting Room', 'Sauna', 'Security System']"
73 - 118 Dalhousie St,"$765,000",3+1,3,2,NA,null,S,$155.00,Tbd,New,Open Balcony,None,Forced Air,Garage,Comm Element Condo,Church St. Corridor,Yes,NA,149-167 sqm,['Visitor Parking']
316 - 8 Telegram Mews,"$447,500",Studio,1,0,"1,369",388,E,$275.20,60/90,11 years old,Open Balcony,Owned,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2090,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Games Room', 'Media Room']"
708 - 85 Queens Wharf Rd,"$474,000",Studio,1,0,"1,613",438,N,$280.98,Immediate,6 years old,None,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2458,0-46 sqm,"['BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Concierge', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Indoor Pool', 'Basketball Court', 'Gym']"
2908 - 85 Queens Wharf Rd,"$495,000",Studio,1,0,"1,613",438,N,$280.98,Imme,6 years old,None,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2458,0-46 sqm,"['BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Concierge', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Indoor Pool', 'Basketball Court', 'Gym']"
215 - 151 Dan Leckie Way,"$510,000",Studio,1,1,"1,705",417,W,$373.44,Tba,8 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2301,0-46 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Squash Court', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']"
201 - 3 Navy Wharf Crt,"$380,000",Studio,1,0,"1,619",383,W,$286.18,30 Days/Tba,15 years old,None,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-1764,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Rec Room', 'Squash Court', 'Tennis Court', 'Beanfield Fibre Available', 'Elevator', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Security System', 'Visitor Parking', 'Guest Suites']"
205 - 70 Queens Wharf Rd,"$465,000",Studio,1,0,"1,517",405,W,$268.32,Immediate,2 years old,Terrace,None,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2691,0-46 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Business Centre (WiFi)', 'Media Room', 'Meeting Room', 'Security Guard', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']"
812A - 8 Telegram Mews,"$500,000",Studio,1,0,"1,486",428,E,$285.71,Flexible,10 years old,Open Balcony,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2090,0-46 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Outdoor Pool', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Games Room', 'Media Room']"
3309 - 75 Queens Wharf Rd,"$486,000",Studio,1,0,"1,793",443,W,$270.69,Immediate/Tba,5 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2458,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Squash Court', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']"
3008 - 85 Queens Wharf Rd,"$450,000",Studio,1,0,"1,583",438,NW,$267.60,Immediate,5 years old,Juliet Balcony,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2458,0-46 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Media Room', 'Party Room', 'Security Guard', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Jacuzzi', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security System', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Indoor Pool', 'Basketball Court']"
PH4508 - 85 Queens Wharf Rd,"$475,000",Studio,1,0,"1,583",438,N,$267.60,Tba,5 years old,None,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2458,0-46 sqm,"['BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Concierge', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Indoor Pool', 'Basketball Court', 'Gym']"
942C - 15 Iceboat Terr,"$418,000",Studio,1,0,"1,319",398,N,$282.20,Immed/Tba,9 years old,None,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2157,0-46 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Games Room', 'Rooftop Deck', 'Sauna', 'Squash Court', 'FibreStream Internet']"
4110 - 75 Queens Wharf Rd,"$706,000",1,1,1,"2,411",540,W,$444.39,2021-12-15 00:,6 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2458,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']"
2610 - 75 Queens Wharf Rd,"$635,000",1,1,0,"2,194",540,W,$369.86,30 Days/Tba,6 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2458,46-56 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']"
3512 - 21 Iceboat Terr,"$605,000",1,1,1,"2,065",550,NW,$469.20,Tba,8 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2301,46-56 sqm,"['Beanfield Fibre Available', 'Concierge', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Visitor Parking', 'Indoor Pool', 'Games Room', 'Gym', 'Media Room', 'Rec Room', 'Security Guard', 'Security System', 'Squash Court', 'Spa']"
611 - 75 Queens Wharf Rd,"$610,000",1,1,0,"2,016",535,W,$367.09,30 Days,6 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2458,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']"
605 - 4K Spadina Ave,"$527,500",1,1,0,"1,751",557,E,$350.00,Tbd,12 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2009,46-56 sqm,"['Beanfield Fibre Available', 'Business Centre (WiFi)', 'Concierge', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Security Guard', 'Security System', 'Visitor Parking', 'Indoor Pool', 'BBQ Permitted', 'Games Room', 'Gym', 'Media Room', 'Rec Room', 'Sauna']"
1508 - 75 Queens Wharf Rd,"$629,900",1,1,0,"2,187",590,SW,$402.27,Tba,6 years old,Enclosed Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2568,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']"
3205 - 397 Front St W,"$550,000",1,1,0,"1,638",525,N,$407.06,Tba,18 years old,Open Balcony,None,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-1517,46-56 sqm,"['Concierge', 'Gym', 'Games Room', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'FibreStream Internet', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Security System', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Rec Room', 'Rooftop Deck', 'Tennis Court', 'Jacuzzi', 'Outdoor Games Lounge', 'Spa', 'Yoga Studio']"
503 - 170 Fort York Blvd,"$550,000",1,1,0,"1,650",502,NE,$410.56,60 Days/Tbd,7 years old,None,None,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2406,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Sauna', 'Visitor Parking', 'Public Transit', 'Bike Storage', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet', 'Rooftop Deck', 'Library']"
103 - 35 Mariner Terr,"$620,000",1,1,1,"2,181",603,S,$435.67,30-60 Days,16 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-1713,56-65 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'Bowling Valley', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Tennis Court', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool', 'Golf Simulator']"
1208 - 170 Fort York Blvd,"$565,000",1,1,0,"1,877",492,E,$432.96,60/90 Days,7 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2406,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Library', 'FibreStream Internet']"
2315 - 25 Telegram Mews,"$572,000",1,1,1,"1,809",560,N,$318.19,Flexible,12 years old,Open Balcony,NA,Forced Air,NA,Condo Apt,CityPlace,Yes,TSCC-2016,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Beanfield Fibre Available', 'Indoor Pool']"
2105 - 15 Fort York Blvd,"$597,000",1,1,0,"1,760",535,NE,$319.68,End Of October,13 years old,Open Balcony,None,Heat Pump,Underground,Condo Apt,CityPlace,Yes,TSCC-1955,46-56 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Party Room', 'Security Guard', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Visitor Parking', 'Games Room', 'Rec Room', 'Rooftop Deck']"
3305 - 397 Front St W,"$570,000",1,1,1,"1,833",525,N,$438.56,Immediate/Tba,18 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-1517,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Tennis Court', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']"
1615 - 15 Iceboat Terr,"$545,000",1,1,0,"2,100",461,N,$340.10,60-120 Days,10 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,CityPlace,Yes,TSCC-2157,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Squash Court', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']"
