address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,possession,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst
4106 - 15 Lower Jarvis St,"$991,000",2+1,2,1,NA,907,E,$618.93,90/120/Tba,1 years old,Open Balcony,Owned,Forced Air,Owned,Condo Apt,The Waterfront,Yes,TSCC-2794,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Basketball Court', 'Bike Storage', 'Media Room', 'Meeting Room', 'Sauna', 'Tennis Court', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool', 'Outdoor Pool']"
418 - 29 Queens Quay E,"$1,310,000",2+1,2,1,"5,769",1148,E,$836.70,Immediate,5 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2509,93-111 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Outdoor Pool', 'Party Room', 'BBQ Permitted', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Sauna', 'Visitor Parking', 'Security Guard']"
424 - 12 Bonnycastle St,"$868,000",2+1,2,1,"3,128",845,W,$665.14,Immediately,2 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2706,74-84 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Business Centre (WiFi)', 'Guest Suites', 'Meeting Room', 'Rec Room', 'Sauna', 'Yoga Studio', 'Beanfield Fibre Available', 'Outdoor Pool']"
1238 - 15 Merchants' Wharf,"$1,285,000",2+1,2,1,"4,726",982,SW,$811.35,Immed/Tba,3 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2640,84-93 sqm,"['BBQ Permitted', 'Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Rooftop Deck', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Security System', 'Visitor Parking', 'Sauna']"
TH103 - 39 Queens Quay E Way,"$1,700,000",2+1,3,1,"9,553",2004,SE,"$1,599.70",Flex,5 years old,Terrace,Owned,Forced Air,Underground,Condo Townhouse,The Waterfront,Yes,TSCC-2491,167-186 sqm,"['Beanfield Fibre Available', 'Concierge', 'Guest Suites', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Security Guard', 'Security System', 'Visitor Parking', 'Indoor Pool', 'Outdoor Pool', 'BBQ Permitted', 'Gym', 'Meeting Room', 'Sauna']"
805W - 480 Queens Quay W,"$1,950,000",2+1,2,1,"5,074",1626,S,"$1,345.40",Tba,32 years old,Terrace,NA,Baseboard,Underground,Condo Apt,The Waterfront,Yes,MTCC-781,149-167 sqm,"['Gym', 'Pool', 'Concierge', 'Public Transit', 'BBQ Permitted', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Tennis Court', 'Indoor Pool']"
3013 - 55 Harbour Sq,"$1,400,000",2+1,2,1,"5,307",0,NE,"$1,356.89","Tba 60, 90",41 years old,Open Balcony,NA,Baseboard,Underground,Condo Apt,The Waterfront,Yes,YCC-510,149-167 sqm,"['Security Guard', 'Indoor Pool', 'Rec Room', 'Gym', 'Sauna', 'Parking Garage', 'Security System', 'Squash Court', 'BBQ Permitted', 'Concierge', 'Meeting Room', 'Party Room', 'Rooftop Deck', 'Visitor Parking']"
5910 - 100 Harbour St,"$1,365,000",2+1,2,1,"6,039",0,SW,$959.46,90/ Tba,3 years old,Open Balcony,None,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-2658,93-111 sqm,"['Pets', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Bike Storage', 'Business Centre (WiFi)', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Security Guard', 'Security System', 'Indoor Pool', 'BBQ Permitted', 'Games Room', 'Gym']"
2211 - 16 Yonge St,"$1,065,000",2+1,2,1,"3,502",1012,SW,$759.05,Immediate,14 years old,Open Balcony,Owned,Forced Air,Underground,Condo Apt,The Waterfront,Yes,TSCC-1788,93-111 sqm,"['Concierge', 'Gym', 'Sauna', 'Squash Court', 'Tennis Court', 'Visitor Parking', 'Beanfield Fibre Available', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Security Guard', 'Security System', 'Indoor Pool', 'Basketball Court', 'Rec Room']"
1112 - 29 Queens Quay E,"$2,885,000",3+1,3,3,"11,756",2338,SE,"$1,668.46",Flexible,5 years old,Terrace,Owned,Heat Pump,Underground,Condo Apt,The Waterfront,Yes,TSCC-2509,209-232 sqm,"['BBQ Permitted', 'Bike Storage', 'Gym', 'Indoor Pool', 'Outdoor Pool', 'Sauna', 'Beanfield Fibre Available', 'Concierge', 'Media Room', 'Meeting Room', 'Visitor Parking', 'Party Room', 'Security Guard']"
