address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst,size_range_level,include_party_room,include_meeting_room,include_rooftop_deck,include_visitor_parking,include_security_system,include_security_guard,include_pet_restriction,include_guest_suites,include_concierge,include_gym,include_rec_room,include_media_room,include_public_transit,include_bbq_permitted,include_indoor_pool,num_amenities
1408 - 96 St Patrick St,825000,2,2,1,2970,NA,E,691.85,13,Terrace,Owned,Forced Air,Underground,Condo Apt,grangepark,Yes,TSCC-1946,65-74 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System']",3,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,14
608 - 210 Simcoe St,721000,1+1,1,0,2735,703,E,430.24,6,Open Balcony,None,Forced Air,Underground,Condo Apt,grangepark,Yes,TSCC-2430,65-74 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Visitor Parking', 'Public Transit', 'Elevator', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security System', 'Visitor Lounge', 'Yoga Studio', 'Games Room', 'Media Room']",3,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,18
208 - 105 Mccaul St,735000,2,2,0,2842,NA,E,1071.14,38,Terrace,NA,Forced Air,NA,Condo Apt,grangepark,Yes,MTCC-1,93-111 sqm,"['Gym', 'Pets', 'Public Transit', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Media Room', 'Meeting Room', 'Parking Garage', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Games Room', 'Outdoor Pool']",6,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,15
1602 - 426 University Ave,613000,1,1,0,2201,538,W,444.72,7,Juliet Balcony,None,Forced Air,NA,Condo Apt,grangepark,Yes,TSCC-2375,46-56 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Bike Storage', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,14
4210 - 426 University Ave,715000,1+1,1,0,2993,679,E,520.59,7,Open Balcony,None,Forced Air,NA,Condo Apt,grangepark,Yes,TSCC-2375,56-65 sqm,"['Concierge', 'Gym', 'Security Guard', 'Public Transit', 'Bike Storage', 'Elevator', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'FibreStream Internet', 'Guest Suites', 'Meeting Room', 'Party Room']",2,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,14
916 - 50 Mccaul St,795000,1+1,2,0,NA,694,W,532.1,0,Juliet Balcony,None,Forced Air,Underground,Condo Apt,grangepark,Yes,TSCC-2807,56-65 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'Security System']",2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,5
1005 - 96 St Patrick St,705000,1+1,1,1,2585,NA,E,591.24,13,Open Balcony,Owned,Forced Air,Underground,Condo Apt,grangepark,Yes,TSCC-1946,56-65 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Security System', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rooftop Deck', 'Security Guard']",2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,14
706 - 96 St Patrick St,675000,1,1,1,2525,NA,E,559.43,13,Open Balcony,None,Forced Air,Underground,Condo Apt,grangepark,Yes,TSCC-1946,56-65 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Security Guard', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rooftop Deck', 'Security System']",2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,14
1025 - 297 College St,670000,1+1,1,0,2706,661,N,495,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",2,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13
204 - 160 Baldwin St,640000,1,1,0,2346,740,S,557.47,21,None,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,MTP-1291,65-74 sqm,"['Public Transit', 'Party Room', 'Elevator', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'Enter Phone System']",3,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,10
721 - 297 College St,1030000,2+1,2,1,3762,956,NW,824,4,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,84-93 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'BBQ Permitted', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet', 'Games Room']",5,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,14
809 - 297 College St,713800,1+1,1,0,2536,590,S,444.39,4,Terrace,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Concierge', 'Gym', 'Party Room', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Rooftop Deck', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
211 - 160 Baldwin St,687000,1,1,1,2507,745,SE,613.97,21,None,None,Heat Pump,Underground,Condo Apt,kensingtonmarket,Yes,MTCC-1291,65-74 sqm,"['Party Room', 'Rec Room', 'Security System', 'Enter Phone System', 'Meeting Room', 'Outdoor Patio', 'Public Transit', 'Elevator', 'Parking Garage', 'Pet Restriction']",3,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,10
501 - 8 Oxford St,680000,2,1,0,2861,777,S,630.44,20,Open Balcony,None,Forced Air,Other,Condo Apt,kensingtonmarket,No,MTCC-1358,65-74 sqm,"['Public Transit', 'Party Room', 'Bike Storage', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System']",3,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,7
105 - 21 Nassau St,1018000,2+1,2,1,4150,1314,NS,1155.68,21,Terrace,NA,Heat Pump,Underground,Condo Apt,kensingtonmarket,Yes,MTCC-1291,111-130 sqm,"['Public Transit', 'Party Room', 'Bike Storage', 'Elevator', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'Enter Phone System']",7,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,11
1216 - 297 College St,680000,1+1,1,0,2181,506,W,381.12,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
306 - 160 Baldwin St,895000,1,1,1,3080,965,W,809.82,21,Juliet Balcony,Owned,Heat Pump,Underground,Condo Apt,kensingtonmarket,Yes,MTCC-1291,84-93 sqm,"['Party Room', 'Rec Room', 'Security System', 'Enter Phone System', 'Meeting Room', 'Outdoor Patio', 'Public Transit', 'Elevator', 'Parking Garage', 'Pet Restriction']",5,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,10
1220 - 297 College St,690000,1,1,0,2495,580,NW,460.04,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Rooftop Deck', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
805 - 297 College St,540000,1,1,0,2084,495,N,372.84,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,0-46 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Media Room', 'Party Room', 'Rooftop Deck', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Security Guard', 'Security System']",0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1020 - 297 College St,793000,2,2,0,3269,763,NW,597.88,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,65-74 sqm,"['Bike Storage', 'Guest Suites', 'Gym', 'Media Room', 'Party Room', 'Rooftop Deck', 'Concierge', 'Rec Room', 'FibreStream Internet', 'Meeting Room', 'Security Guard', 'Security System']",3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1215 - 297 College St,668800,1+1,1,0,2117,500,W,376.61,4,Open Balcony,None,Forced Air,NA,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1202 - 297 College St,600000,1,1,0,1847,445,E,321.66,4,Enclosed Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1512 - 297 College St,660000,1+1,1,0,2182,518,W,390.16,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Rooftop Deck', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
623 - 297 College St,760000,2,2,1,2764,667,N,606.84,4,Juliet Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",2,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,13
512 - 297 College St,639999,1+1,1,0,2219,567,W,450.25,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Concierge', 'Gym', 'Media Room', 'Party Room', 'Rec Room', 'Security Guard', 'FibreStream Internet', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Rooftop Deck', 'Security System']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1511 - 297 College St,638000,1+1,1,0,2195,514,W,410.33,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Party Room', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Rooftop Deck', 'Security Guard', 'Security System']",1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
#803 - 297 College St,980000,3,2,1,4480,1026,E,841.85,4,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,93-111 sqm,"['Concierge', 'Party Room', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Guest Suites', 'Gym', 'Meeting Room', 'Rooftop Deck', 'Security Guard', 'Security System']",6,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1023 - 297 College St,765000,2,2,0,3280,797,N,623.49,4,Juliet Balcony,Owned,Forced Air,NA,Condo Apt,kensingtonmarket,No,TSCC-2551,65-74 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
PH09 - 297 College St,630000,1,1,0,2243,460,N,369.66,4,Open Balcony,Owned,Forced Air,NA,Condo Apt,kensingtonmarket,Yes,TSCC-2551,0-46 sqm,"['Bike Storage', 'Concierge', 'Guest Suites', 'Gym', 'Party Room', 'Visitor Parking', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Meeting Room', 'Rooftop Deck', 'Security Guard', 'Security System']",0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,13
508 - 160 Baldwin St,790000,1,1,1,2963,881,N,746.56,20,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,MTCC-1291,74-84 sqm,"['Rooftop Deck', 'Public Transit', 'Party Room', 'Elevator', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security System', 'Enter Phone System']",4,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,11
PH08 - 297 College St,575000,1,1,0,2207,452,W,348.95,4,Open Balcony,Owned,Forced Air,NA,Condo Apt,kensingtonmarket,Yes,TSCC-2551,0-46 sqm,"['Concierge', 'Gym', 'Games Room', 'Guest Suites', 'Party Room', 'Rooftop Deck', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Security Guard', 'Security System']",0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,13
626 - 297 College St,655000,2,2,0,2735,738,N,579.05,4,None,Owned,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,65-74 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Rec Room', 'Security Guard', 'Security System', 'FibreStream Internet']",3,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
905 - 297 College St,550000,1,1,0,2045,495,N,357.8,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,0-46 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Media Room', 'Party Room', 'Rooftop Deck', 'Rec Room', 'FibreStream Internet', 'Bike Storage', 'Meeting Room', 'Security Guard', 'Security System']",0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,12
1701 - 297 College St,678800,1+1,1,0,2775,679,E,511.43,4,Open Balcony,None,Forced Air,Underground,Condo Apt,kensingtonmarket,Yes,TSCC-2551,56-65 sqm,"['Bike Storage', 'Business Centre (WiFi)', 'Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Media Room', 'Rec Room', 'FibreStream Internet', 'Guest Suites', 'Meeting Room', 'Security Guard', 'Security System']",2,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,13
1812 - 115 Blue Jays Way,436000,Studio,1,0,NA,NA,NE,205.38,0,Open Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-2824,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rec Room', 'Visitor Parking', 'Rooftop Deck', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Visitor Lounge', 'Yoga Studio', 'Games Room', 'Sauna']",0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,15
722 - 270 Wellington St W,460000,Studio,1,0,1434,445,N,389.88,19,Juliet Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-1441,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Security Guard', 'Visitor Parking', 'Rooftop Deck', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Meeting Room', 'Party Room', 'Beanfield Fibre Available']",0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,14
2305 - 87 Peter St,550000,Studio,1,0,1575,NA,W,235.91,2,Open Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,YRCC-2700,0-46 sqm,"['Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Yoga Studio', 'Beanfield Fibre Available', 'Bike Storage', 'Guest Suites', 'Gym', 'Enter Phone System']",0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,19
2405 - 87 Peter St,548880,Studio,1,0,1546,NA,SW,235.91,2,Open Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2700,0-46 sqm,"['Concierge', 'Gym', 'Party Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Public Transit', 'Visitor Parking', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Rec Room', 'Security System', 'Spa', 'Yoga Studio', 'Beanfield Fibre Available', 'Bike Storage', 'Guest Suites']",0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,19
416 - 576 Front St W,427000,Studio,1,0,1277,NA,N,207,1,Juliet Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2744,0-46 sqm,"['BBQ Permitted', 'Games Room', 'Gym', 'Outdoor Pool', 'Rooftop Deck', 'Visitor Parking', 'Bike Storage', 'Coin Laundry', 'Guest Suites', 'Meeting Room', 'Party Room']",0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,11
402 - 8 Mercer St,525000,Studio,1,0,2139,463,N,261.93,6,Open Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2460,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Media Room', 'Meeting Room', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'FibreStream Internet']",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,17
106 - 1005 King St W,440000,Studio,1,0,1733,445,S,331.87,15,Terrace,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-1799,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Security Guard', 'Security System', 'Beanfield Fibre Available']",0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,15
516 - 576 Front St W,420000,Studio,1,0,1277,NA,N,207,1,Juliet Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2744,0-46 sqm,"['Gym', 'Rooftop Deck', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Coin Laundry', 'Guest Suites', 'Meeting Room', 'Games Room', 'Outdoor Pool']",0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,11
PH1005 - 55 Stewart St,525000,Studio,1,0,2268,448,S,400.52,11,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2082,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Outdoor Pool']",0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,13
3009 - 8 Mercer St,522000,Studio,1,0,2053,442,W,250.05,6,Open Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2460,0-46 sqm,"['Beanfield Fibre Available', 'Concierge', 'FibreStream Internet', 'Media Room', 'Meeting Room', 'Party Room', 'Pet Restriction', 'Public Transit', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Gym', 'Rec Room']",0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,17
1407 - 705 King St W,455000,Studio,1,0,1515,398,S,294.74,36,None,None,Forced Air,Underground,Condo Apt,kingwest,No,MTCC-674,0-46 sqm,"['Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Indoor Pool', 'Outdoor Pool', 'Bike Storage', 'Concierge', 'Gym', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Party Room', 'Squash Court', 'Visitor Parking']",0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,17
1811 - 88 Blue Jays Way,555000,Studio,1,0,2395,NA,N,341.23,3,Open Balcony,None,Forced Air,Underground,Comm Element Condo,kingwest,Yes,TSCC-2603,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'FibreStream Internet', 'Guest Suites', 'Meeting Room', 'Outdoor Patio', 'Pets', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Visitor Parking', 'Bike Storage', 'Party Room']",0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,14
818W - 27 Bathurst St,430000,Studio,1,0,NA,320,E,201.29,1,Open Balcony,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2758,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Coin Laundry', 'Guest Suites', 'Meeting Room', 'Games Room', 'Outdoor Pool']",0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,12
2610 - 88 Blue Jays Way,495000,Studio,1,0,1980,379,SE,287.4,3,Open Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-2603,0-46 sqm,"['Gym', 'Pets', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Meeting Room', 'Outdoor Patio', 'Sauna', 'Security Guard', 'FibreStream Internet', 'Outdoor Pool']",0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,14
3111 - 88 Blue Jays Way,568000,Studio,1,0,2453,NA,N,341.23,3,Enclosed Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-2603,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Rooftop Deck', 'Sauna', 'FibreStream Internet', 'Guest Suites', 'Meeting Room', 'Outdoor Patio', 'Pets', 'Security Guard', 'Visitor Parking', 'Bike Storage']",0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,14
304 - 560 King St W,540000,Studio,1,0,2627,454,NE,353.58,7,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2376,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Bike Storage', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Security Guard', 'Security System', 'Visitor Lounge', 'Beanfield Fibre Available', 'Outdoor Pool']",0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,18
319 - 115 Blue Jays Way,413000,Studio,1,0,NA,NA,W,207.38,0,None,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2824,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Media Room', 'Party Room', 'Rooftop Deck', 'Guest Suites', 'Meeting Room', 'Outdoor Patio', 'Visitor Lounge', 'Yoga Studio', 'Visitor Parking']",0,1,1,1,1,0,0,0,1,1,1,0,1,0,0,1,12
2502 - 80 John St,525000,Studio,1,0,2339,487,S,480.39,10,Open Balcony,Owned,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-2155,0-46 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rooftop Deck', 'Sauna', 'Business Centre (WiFi)', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Media Room', 'Rec Room', 'Security Guard']",0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,14
622 - 270 Wellington St W,460000,Studio,1,0,1397,445,N,375.31,19,None,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-1441,0-46 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Indoor Pool']",0,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,15
808 - 270 Wellington St,477000,Studio,1,0,1581,505,S,425.91,19,None,None,Forced Air,Underground,Condo Apt,kingwest,Yes,TSCC-1441,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Rooftop Deck', 'Security Guard', 'Visitor Parking', 'Public Transit', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security System', 'Meeting Room', 'Party Room', 'Beanfield Fibre Available']",1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,14
407 - 705 King St W,435500,Studio,1,0,1421,398,S,294.74,36,None,None,Heat Pump,NA,Condo Apt,kingwest,No,MTCC-674,0-46 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Indoor Pool', 'Outdoor Pool']",0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,17
401W - 27 Bathurst St,433000,Studio,1,0,1500,NA,NE,211,1,Enclosed Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-2758,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Rec Room', 'Security System', 'BBQ Permitted', 'Bike Storage', 'Coin Laundry', 'Games Room', 'Guest Suites', 'Meeting Room', 'Rooftop Deck', 'Visitor Parking']",0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,14
601 - 576 Front St W,430000,Studio,1,0,1680,NA,N,228,1,Open Balcony,None,Forced Air,NA,Condo Apt,kingwest,Yes,TSCC-2744,0-46 sqm,"['Concierge', 'Gym', 'Outdoor Pool', 'Party Room', 'Rooftop Deck', 'BBQ Permitted', 'Bike Storage', 'Coin Laundry', 'Games Room', 'Guest Suites', 'Meeting Room', 'Visitor Parking']",0,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,12
309 - 915 King St W,575000,Studio,1,0,1904,491,E,454.7,17,None,Owned,Radiant,NA,Condo Apt,kingwest,Yes,TSCC-1559,46-56 sqm,"['Security System', 'BBQ Permitted', 'Beanfield Fibre Available', 'Elevator', 'Parking Garage', 'Pet Restriction', 'Public Transit']",1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,7
