address,price,num_of_bed,num_of_bath,num_of_parking,tax_2021,actual_size,exposure,maintenance_fees,age_of_building,outdoor_space,locker,heating_type,parking_type,property_type,location_area,ensuite_laundry,corp_num,size_range,amenity_lst,size_range_level,include_party_room,include_meeting_room,include_rooftop_deck,include_visitor_parking,include_security_system,include_security_guard,include_pet_restriction,include_guest_suites,include_concierge,include_gym,include_rec_room,include_media_room,include_public_transit,include_bbq_permitted,include_indoor_pool,num_amenities
2909 - 3 Navy Wharf Crt,650000,1,1,1,2077,535,S,454.15,15,Open Balcony,Owned,Heat Pump,Underground,Condo Apt,cityplace,Yes,TSCC-1764,46-56 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Tennis Court', 'Beanfield Fibre Available', 'Indoor Pool']",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,18
1501 - 381 Front St W,580000,1,1,0,1912,635,W,492.64,18,Open Balcony,None,Fan Coil,Underground,Condo Apt,cityplace,Yes,TSCC-1517,56-65 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Jacuzzi', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Tennis Court', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Games Room', 'Indoor Pool', 'Outdoor Games Lounge']",2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,25
208 - 70 Queens Wharf Rd,577000,1,1,0,2200,NA,NW,334.52,2,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2691,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Media Room', 'Meeting Room', 'Security Guard']",1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,9
1605 - 397 Front St W,587000,1,1,1,1833,525,N,438.56,18,Open Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-1517,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Security System', 'Visitor Parking', 'Beanfield Fibre Available', 'FibreStream Internet', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security Guard', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Rec Room', 'Rooftop Deck', 'Tennis Court']",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,20
738 - 151 Dan Leckie Way,545000,1,1,0,1894,575,S,413.95,8,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2301,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Rec Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Games Room', 'Media Room', 'Security Guard', 'Security System', 'Squash Court']",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,16
1204 - 170 Fort York Blvd,565000,1,1,0,1711,505,NE,410.56,6,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2406,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Bike Storage', 'Guest Suites', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'FibreStream Internet']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,18
515 - 90 Queens Wharf Rd,599900,1,1,0,1876,NA,N,353.11,2,Open Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2691,46-56 sqm,"['Concierge', 'Guest Suites', 'Gym', 'Indoor Pool', 'Media Room', 'Visitor Parking', 'Beanfield Fibre Available', 'Meeting Room', 'Party Room', 'Security Guard']",1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,10
701 - 25 Capreol Crt,539000,1,1,0,1711,NA,E,386.16,11,Enclosed Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2090,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Outdoor Pool', 'Games Room', 'Media Room']",1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,16
510 - 85 Queens Wharf Rd,580888,1,1,0,1980,535,N,343.48,6,Open Balcony,None,Forced Air,NA,Condo Apt,cityplace,Yes,TSCC-2458,46-56 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
211 - 90 Queens Wharf Rd,591000,1,1,0,1796,NA,N,344.4,2,Open Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2691,46-56 sqm,"['Gym', 'Media Room', 'Party Room', 'Security Guard', 'Visitor Parking', 'Beanfield Fibre Available', 'Concierge', 'Meeting Room', 'Indoor Pool']",1,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,9
202 - 4K Spadina Ave,550000,1,1,0,2021,663,SW,455.55,12,Enclosed Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2009,56-65 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Business Centre (WiFi)', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']",2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18
202 - 4K SPADINA Avenue,550000,1,1,1,NA,663,NA,NA,12,NA,NA,Forced Air,Underground,Condo Apt,NA,NA,NA,56-65 sqm,"['Gym', 'Concierge', 'Party Room', 'Visitor Parking', 'BBQ Permitted', 'Business Centre (WiFi)', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']",2,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18
1811 - 15 Iceboat Terr,588000,1,1,1,1790,468,W,411.75,10,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2157,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Squash Court', 'Beanfield Fibre Available', 'Games Room', 'Indoor Pool']",1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,16
3307 - 397 Front St W,610000,1,1,1,1980,585,N,485.2,18,Open Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-1517,56-65 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Rec Room', 'Security Guard', 'Visitor Parking', 'Beanfield Fibre Available', 'FibreStream Internet', 'Meeting Room', 'Parking Garage', 'Party Room', 'Pet Restriction', 'Public Transit', 'Sauna', 'Security System', 'Basketball Court', 'Bike Storage', 'Guest Suites', 'Rooftop Deck', 'Tennis Court']",2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,20
2505 - 35 Mariner Terr,540000,1,1,0,1851,550,N,370.29,15,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-1731,46-56 sqm,"['Gym', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Elevator', 'Guest Suites', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Squash Court', 'Tennis Court', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,19
3910 - 85 Queens Wharf Rd,610000,1,1,0,1919,535,N,343.48,6,Juliet Balcony,None,Forced Air,Underground,Condo Apt,cityplace,Yes,TSCC-2458,46-56 sqm,"['Concierge', 'Gym', 'Guest Suites', 'Indoor Pool', 'Party Room', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
3112 - 75 Queens Wharf Rd,605000,1,1,0,2304,572,SW,390.69,6,Open Balcony,Owned,Forced Air,NA,Comm Element Condo,cityplace,Yes,TSCC-2458,56-65 sqm,"['Concierge', 'Gym', 'Indoor Pool', 'Party Room', 'Security System', 'BBQ Permitted', 'Beanfield Fibre Available', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Public Transit', 'Rec Room', 'Rooftop Deck', 'Sauna', 'Security Guard', 'Spa', 'Visitor Lounge', 'Visitor Parking', 'Yoga Studio', 'FibreStream Internet', 'Basketball Court']",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
705 - 11 Brunel Crt N,525888,1,1,0,1745,535,N,353.96,13,Open Balcony,Owned,Forced Air,Underground,Condo Apt,cityplace,No,TSCC-1949,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Party Room', 'Visitor Parking', 'Guest Suites', 'Media Room', 'Meeting Room', 'Parking Garage', 'Pet Restriction', 'Sauna', 'Security Guard', 'Security System', 'Games Room', 'Indoor Pool']",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,15
2712 - 75 Queens Wharf Rd,610000,1,1,0,2304,572,W,390.69,6,Open Balcony,Owned,Fan Coil,NA,Condo Apt,cityplace,Yes,TSCC-2458,46-56 sqm,"['Gym', 'Rooftop Deck', 'Concierge', 'Public Transit', 'Party Room', 'Visitor Parking', 'Basketball Court', 'BBQ Permitted', 'Bike Storage', 'Elevator', 'Guest Suites', 'Jacuzzi', 'Media Room', 'Meeting Room', 'Outdoor Patio', 'Parking Garage', 'Pet Restriction', 'Rec Room', 'Sauna', 'Security Guard', 'Security System', 'Spa', 'Visitor Lounge', 'Yoga Studio', 'Beanfield Fibre Available', 'FibreStream Internet', 'Indoor Pool']",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27
